Sumeru Knowledge Base — Slide Content (Call 2: Content Generation),,,,,,
Slide Path,Service,Sub-service,Display Name,Content Summary,Slide Content,Content Blocks
services/talent/engineering-manufacturing-positions,Talent,Positions,Engineering & Manufacturing Positions,,"Engineering & Manufacturing Positions

Mechanic
Aircraft Maintenance D, Structures
Aircraft Maintenance D, Electrical
Aero-Repair (AR) Rigging Specialist
Certified Engine Mechanic - C130
Aircraft Maintenance C-130, Flightline
Engine Mechanic - C130
Electrical Installers
C-130 Crew Chief
Aircraft Maintenance D, Flightline
Aircraft Maintenance Technician
Aircraft Electrical Installer B
Aircraft Maintenance C
Aircraft Electrical Installer C

Technical / Professional
Sr Buyer
Proposals, Business Analyst
Specialist Integration Test Engineering
Procurement - Expeditor
Senior Technical Recruiter
Quality Engineer
System Safety Engineer
Technical Writer, Aircraft Technical Publications
Principal EMI-EMC Design Engineer
Environmental Health/Safety Specialist
Material Planner
Specialist, Contracts
Senior Mechanical (Pro/E) Designer
Accounting Specialist
Mechanical Engineer III
Structural Dynamics Engineer Lead
Sr Spec, Program Management
Project Engineer
Specialist, Manufacturing Engineering
Mechanical Drafter
Material Analyst 2
Specialist, Accountant
Senior Specialist, Configuration Management 
Financial Analyst
Specialist, Field Engineering
Sales Representative
Government Billing Consultant
Production & Inventory Control Specialist

Light Industrial
Manufacturing Electrical Assembler
Production Technician
Composite Technician B
Materials Controller
Paint Specialist
CNC Machine Operator
Inventory Clerk
Inventory Management Support
Test Technician
Material Handler
Mechanical Assembler
Shipping / Receiving Clerk
Mechanical Inspector
Facilities Technician A
Manual Machinist
Warehouse Support Specialist
Electro-Mechanical Assembly Technician
Expeditor
Electronics Quality Inspector
Quality Inspector

Clerical / Admin
Administrative Assistant
Payroll Associate - Shared Services
Configuration Control Clerk, Level C
Document Control Specialist
Billing Accountant
Log / Records Administrator
Junior Contracts Administrator
Recruiting Coordinator
Order Administrator
Executive Assistant
Financial Analyst – General Accounting
Manufacturing Administration Support - Document Entry
Data Entry/Administration Support
Human Resources Support
Accounts Receivable Associate",
services/talent/enterprise-solutions,Talent,,Talent Enterprise Solutions,,"Enterprise Solutions

SAP: 
•	SAP FICO Consultant
•	SAP BASIS Administrator
•	SAP SuccessFactors Expert
•	SAP Project Manager
•	SAP Business Analyst
•	SAP System Expert
•	Associate, GRC Technology – SAP
•	Azure SAP Specialist
•	SAP TechnoFunctional Expert
•	Administrator, SAP Hana Basis
•	SAP Ariba/SAP MM Consultant
•	SAP Implementation Specialist – Ariba
•	Manager, GRC Technology – SAP
•	Technical Program Manager – SAP


Oracle:
•	Sr. Cons/Principle Cons – Oracle App DBA
•	Oracle EBS Developer/Apps DBS Modules
•	Financial Functional Consultant 
•	Financial Tech. Consultant 
•	PL/SQL Dvp Analyst 
•	Oracle Fusion Consultant
•	ERP Oracle Cloud Consultant
•	Senior Ass., GRC Technology 
•	Advisory Fin. Services Oracle ERP Director
•	ERP Cloud Senior Consultant
•	ERP Cloud Financials – Consultant
•	Manager – Oracle Cloud Integration Lead

Salesforce:
•	Salesforce Administrator
•	Salesforce Business Analyst
•	Technical Architect
•	Project Manager/Lead
•	Salesforce Data Specialist
•	Salesforce Implementation Consultant
•	Technical Program Manager – Salesforce Cloud
•	Field Service Lightning Consultant
•	Comm Cloud Technical Lead – Sn Consultant
•	CRM & Platform Solution Architect
•	Salesforce Marketing Cloud Architect


Microsoft Dynamics GP:
•	ERP Developer
•	Business Analyst – ERP
•	Software Implementer
•	Senior Software Engineer
•	ERP Consultant
•	Sr Associate, Microsoft Dynamics 365
•	Senior Associate, Service Transformation
•	Microsoft Dynamics CRM Pre-Sales Solution Architect
•	Microsoft Dynamics AX developer
•	Sr. Microsoft Dynamics 365/AX Manufacturing  
• Functional Consultant
•	Sr. Microsoft Dynamics CRM Developer",
services/talent/intro,Talent,,Talent — Intro,,"Talent that powers transformation

20+​ Years

We help global enterprises scale faster with top-tier consultants in Cloud, AI, Data, Cybersecurity, Mobility, and Enterprise Solutions—ready to deliver impact from day one.

85% Repeat Business​
5M+​ ATS Database​
94%​ Client Retention​
1.5M+​ Active vetted IT Profiles ​
20,000+​ Professionals Deployed​
5000+​ IT Placements through MSP/VMS​

Industry Focus:
Healthcare & Life Sciences
Retail & Ecommerce
Telecom
Education
Automotive
Banking, Financial Services & Insurance
Manufacturing
Utilities
Information Technology",
services/talent/mobility-positions,Talent,Positions,Mobility Positions,,"Mobility Positions

iOS:
iOS Developer
Senior Engineer – iOS
React Native Developer – iOS
iOS Developer – Hybrid App
iOS Developer – Objective C/ Swift
Engineer, iOS/ tv OS, Ad Integration
and Architecture	
Sr. Software Engineer – iOS
Sr. iOS Developer
Ionic Mobile Developer
iOS Developer/Architect
Lead iOS Engineer
Senior iOS Developer – Swift/Objective	
CTechnical Lead – iOS Developer
iOS Developer – Swift/objective C
React Native – iOS Developer
iOS Developer – Mobile Development Framework
iOS – Business Analyst

Android:
Android Architect
Android Native Developer
Senior Software Engineer
Android Developer – Java/Rest API
Lead Mobile Developer – Android
Xamarin & WPF Developers	
React Native Developer
Android Developer  - Java/Kotlin/SDK
Engineering Manager – Apps (iOS,
Android, Web)
Full stack Engineer
Android Developer – Object Oriented	
Flutter/ Mobile Application - Developer
Sr. & Lead Android Developer
Android Developer Java on Linux
Embedded Android Developer
Senior Android Developer Kotlin
Android Project Managers",
services/talent/quality-validation-positions,Talent,Positions,Quality & Validation Positions,,"Quality and Validation Positions

Process / Manufacturing Validation:
Validation Engineer (Process / Equipment) 
Senior Validation Engineer
Computer Systems Validation Engineer
Process Quality / Validation Engineer

Quality Engineering & Assurance:
Quality Engineer I / Associate Quality Engineer
 Quality Engineer II / Senior Quality Engineer
Quality Assurance Manager
Development Quality Engineer

CAPA / Compliance / Risk Management:
Associate CAPA Engineer
Risk Management Engineer II
QA/Compliance Specialist

Supplier/External Quality:
Supplier Quality Engineer / Senior Supplier Quality Engineer
Component Supplier Quality Engineer

Software / Diagnostics / Medical Device Quality:
Software Quality Engineer II 
Senior Software Design Assurance Engineer (Medical Device)

Validation Engineer
Senior Validation Engineer
Computer Systems Validation Engineer
Quality Engineer
Senior Quality Engineer
Associate CAPA Engineer
Risk Management Engineer",
services/talent/recruitment-model,Talent,,Talent Recruitment Model,,"Recruitment Model

Tailored Solutions for Contract, Temp-to-Hire, and Direct Placement
Expect resumes within 48 hours after sharing requirements
Highly qualified profiles are vetted through AI-driven ATS technologies
Client-Centric Approach with Dedicated Account Managers
Long-Term Partnership and Post-Placement Support

(A Complex image of the recruitment process flow)",
services/talent/tech-positions,Talent,Positions,Tech Positions,,"Technology Positions

AI & ML
AI Developer / Programmer
Data Scientist
QA Automation Tool Developer - for AI
AI Engineer
Deep Learning Engineer
UX Designer for AI products
Applied Research Scientists
Machine Learning Engineer
Natural Language Processing Specialist AI
Machine Learning – Research Scientists
Application Research, Developer
Operation Research – Research Scientist
Application Research & Quality Assurance",
services/talent/workday-services/case-studies,Talent,Workday,Workday Case Studies,,"Workday Case Studies 

Streamlined Integrations for a F500 Healthcare Firm
Streamlined Workday integrations for a F500 Healthcare firm, consolidating payroll integrations across 86 countries
Freed client team to focus on strategic business initiatives
Ensured seamless weekly execution of critical payroll integrations

Stabilizing a Workday HCM Environment Post-Acquisition
Stabilized the Workday HCM environment
post-acquisition by addressing immediate payroll issues,
implementing root-cause solutions, and establishing a
standard operating model.
Achieved a stable Workday environment with significantly reduced payroll incidents
Ensured smooth payroll administration for employees of the acquired entity

Stabilizing Workday Finance for a Financial Services Firm
Reconfigured the client’s Workday Finance environment automating critical workflows and enabling accurate, faster financial closes by eliminating manual process
Stabilized Workday environment
Fewer manual processes led to reduced errors and quicker financial close

Consolidated Advanced Compensation Process for a Large Life Sciences Firm
Streamlined compensation processes for a large Life
Sciences firm by consolidating Merit, Bonus, and LTI
processes into a single annual launch window.
Enhanced efficiency by consolidating all processes into a single launch
Provided a unified view of Merit, Bonus, and LTI for better decision-making and process management

Implemented Time Tracking for  Multiple Countries
Designed and implemented Time Tracking for multiple
countries including Ireland, Mexico, South Africa etc.,
replacing Kronos
Ensured accurate time capture for payroll
Paved the way for subsequent deployment of Workday Scheduling

Streamlined Recruitment Process with Offer Letter Automation
Streamlined the offer letter process for a large US firm by
consolidating templates, automating workflows, and
incorporating bilingual support.
Increased efficiency and eliminated errors in the offer letter process
Enhanced candidate experience through streamlined and accurate communication",
services/talent/workday-services/intro,Talent,Workday,Workday Services — Intro,A circle divided into 4 quadrants desciribing our managed services,"Workday Services

OUR SERVICES

Advisory Services
- Workday Implementation
- Post-Deployment Support
- Phase X Deployment

Managed Services
- Application Management Services
- Ongoing Workday Environment Support
- Workday Stabilization

Staffing Services
- Contract
- Contract-To-Hire
- Direct Hire

1. Workday Specialists: Unparalleled expertise in Workday solutions
2. Flexible Staffing Models: Tailored services for both short- and long-term needs
3. Managed Services: End-to-end support, ensuring success across implementations
4. Niche Skill Sourcing: Expertise in Workday Prism, Adaptive Planning, Security, and more",
services/talent/workday-services/managed-services,Talent,Workday,Workday Managed Services,,"Service Offerings - Managed Services

Implementation Advisory
- Mitigate Implementation Risks
- Impact Analysis of Key Design Decisions
- Business Transformation Consultation
- Data Migration & Testing

Stabilization
- Fix Post Go-Live Issues
- Stabilize Integrations
- Reconfigure Business Processes
- Clean Up Remaining Data Issues

Optimization
- Phase X Implementation
- Add New Workday SKUs
- Undertake Enterprise-Wide Changes
- Manage Mergers, Acquisitions, and Divestitures

Support
- Different Models for Flexibility
- Onshore-Offshore Model
- SLA Adherence
Ramp Up/Down as Required",
services/talent/workday-services/why,Talent,Workday,Workday Services — Why,,"Why Choose us for Workday

50+ Workday Consultants
20+ Customers Served

SPECIALISED AND EXTENSIVE TALENT POOL
Our extensive database of Workday consultants and in-house talent pool allows us to quickly assemble the right team to fit your needs.

FLEXIBLE STAFFING MODELS AND QUICK RESPONSE
We offer staffing services tailored to the needs of your business. Bring on qualified talent quickly then convert them to your team for long-term support.

MANAGED SERVICES
We take ownership of engagements to ensure low risk and high success through our managed service offerings.

NICHE SKILLS PROVIDER
From Adaptive Planning to Prism and Extend, we are your one-stop shop to source any niche skill within the Workday ecosystem.",
